Product Backlog for SmartFin,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
ID,Title,Epic,User Story,Priority (MoSCoW),Status,Acceptance Criteria,Functional Requirements,Non-Functional Requirements
1,User Authentication,Authentication,"As a user, I want to securely register and log in so that my financial data remains protected.",Must,In Progress,"	1. User can register using a valid email and password.
	2. User can log in using registered credentials.
	3. Password reset functionality is available and works correctly.",Implement secure user registration and login functionality. Apply password hashing and session management. Provide password reset functionality with secure token validation.,Authentication and authorization operations shall complete within 2 seconds. User credentials shall be securely stored using encryption and hashing techniques.
2,User Profile Management,Profile,"As a user, I want to manage my profile details so that my financial assessment is personalized.",Must,Pending,"	1. User can view and update profile details.
	2. Profile changes are saved successfully.","Allow users to create, view, and update profile details. Store profile information securely and associate it with the authenticated user account.",Profile data updates shall be processed within 2 seconds. User profile information shall be stored securely and accessed only by authorized users.
3,Financial Data Input,Data Collection,"As a user, I want to enter my income and expenses so that my financial health can be evaluated.",Must,In Progress,"	1. User can enter income and expense details.
	2. Input values are validated before submission.
	3. Financial data is stored correctly.","Develop input forms to collect income, expenses, savings, and EMI details. Validate inputs before submission and store financial data securely in the database.",Input validation and storage shall occur within 1 second of submission. Financial data shall be stored securely to prevent unauthorized access.
4,Data Preprocessing,Data Processing,"As a system, I want to preprocess financial data so that it can be used for ML analysis.",Must,Ready for Dev,"	1. Missing values in financial data are handled.
	2. Financial data is normalized and prepared for ML processing.","Implement data cleaning and preprocessing pipeline. Handle missing values, normalize financial inputs, and generate derived features required for ML processing.",Data preprocessing operations shall complete within 3 seconds per request. The system shall handle invalid or missing data without failure.
5,Financial Health Scoring,ML Engine,"As a user, I want to receive a financial health score so that I understand my financial condition.",Must,In Progress,"	1. ML model generates a financial health score.
	2. Score is displayed correctly to the user.",Train and deploy a machine learning regression model to evaluate financial data and generate a financial health score based on user inputs.,ML model prediction latency shall be less than 2 seconds. The system shall ensure consistent scoring for identical inputs.
6,Financial Health Categorisation,ML Engine,"As a user, I want my score categorized so that I can easily interpret my financial status.",Must,Pending,"	1. Financial health score is mapped to the correct category.
	2. Category label is displayed accurately.",Implement rule-based logic to classify the financial health score into predefined categories and display the corresponding category to the user.,Score categorization shall be completed within 1 second. Category mapping logic shall be reliable and error-free.
7,Spending Pattern Analysis,Analytics,"As a user, I want to analyze my spending patterns so that I can identify major expense areas.",Should,Backlog,"	1. Category-wise spending breakdown is displayed.
	2. Visual charts accurately reflect financial data.",Generate category-wise spending analysis and visualizations to help users understand expense distribution and spending behavior.,Analytical charts and visualizations shall load within 3 seconds. Data displayed shall be accurate and up-to-date.
8,Anomaly Detection,Risk Analysis,"As a user, I want to be alerted about abnormal financial behavior so that I can take corrective action.",Should,Backlog,"	1. Sudden or abnormal spending patterns are detected.
	2. User is notified about detected anomalies.",Implement rule-based anomaly detection to identify abnormal spending patterns and flag potential financial risks.,Anomalies shall be detected in near real-time. Alerts shall be generated immediately after detection.
9,Guidance Engine,Decision Support,"As a user, I want personalized financial guidance so that I can improve my financial health.",Must,Pending,"	1. System identifies weak financial areas.
	2. Actionable financial guidance is generated for the user.",Develop a rule-based guidance engine that analyzes financial behavior and provides personalized recommendations for improvement.,Personalized guidance shall be generated within 2 seconds. Recommendations shall remain consistent for similar financial patterns.
10,What-If Simulation,Decision Support,"As a user, I want to simulate financial changes so that I can see their impact on my financial health.",Should,Backlog,"	1. User can modify financial inputs.
	2. Updated financial health score is recalculated and displayed.",Allow users to modify financial inputs and re-evaluate financial health dynamically to visualize the impact of potential decisions.,Simulation results shall be displayed within 3 seconds. The system shall handle multiple simulation requests without performance degradation.
11,Investment Suggestions,Advisory,"As a user, I want safe investment suggestions so that I can plan financially without risk.",Could,Backlog,"	1. Investment suggestions are generated based on user category.
	2. Suggested options are appropriate for user risk level.","Provide safe, rule-based investment suggestions based on financial category and risk level without performing stock price or return prediction.",Investment suggestions shall load within 2 seconds. Recommendations shall follow predefined safety and risk rules.
12,Dashboard,Visualization,"As a user, I want a dashboard so that I can view all financial insights in one place.",Must,Pending,"	1. Financial score, charts, and alerts are displayed in one view.
	2. Dashboard navigation works smoothly.","Design and implement a centralized dashboard displaying financial score, analysis charts, alerts, and recommendations in a single interface.",Dashboard pages shall load within 3 seconds. Navigation between dashboard sections shall be smooth and responsive.
13,Finance News Feed,Learning,"As a user, I want access to finance news so that I stay financially aware.",Could,Backlog,"	1. Finance news loads successfully.
	2. News content is displayed correctly.",Integrate a finance news API to fetch and display relevant financial news articles within the application.,News content shall be fetched and displayed within 3 seconds. The system shall handle API failures gracefully.
14,System testing,Quality Assurance,"As a developer, I want the system tested so that it is reliable and stable.",Must,Pending,"	1. Core system features are tested successfully.
	2. Identified bugs are documented and resolved.",Perform unit testing and integration testing to validate functionality and ensure system stability before deployment.,System shall maintain stability during testing. Critical defects shall be resolved within 48 hours.
15,Mini-Interactive Game,Learning,"As a user, I want an interactive finance game so that I can learn financial concepts engagingly.",Could,Backlog,"	1. Game launches and runs without errors.
	2. Financial concepts are clearly demonstrated through gameplay.",Develop a simple rule-based interactive finance learning game to demonstrate financial concepts in an engaging manner.,Game shall load within 3 seconds. Gameplay shall run smoothly without crashes or performance issues.
